2021-08-04 09:44:27,213 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-08-04 09:44:27,231 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-08-04 09:44:27,232 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2021-08-04 09:44:27,232 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2021-08-04 09:44:27,235 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2021-08-04 09:44:27,235 INFO  SwAddin.cs: 197 - Setting up callbacks
2021-08-04 09:44:27,236 INFO  SwAddin.cs: 201 - Setting up command manager
2021-08-04 09:44:27,236 INFO  SwAddin.cs: 204 - Adding command manager
2021-08-04 09:44:27,239 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2021-08-04 09:44:27,240 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2021-08-04 09:44:27,240 INFO  SwAddin.cs: 210 - Adding event handlers
2021-08-04 09:44:27,251 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2021-08-04 09:44:57,490 INFO  SwAddin.cs: 294 - Assembly export called for file Assemurdf
2021-08-04 09:44:58,932 INFO  SwAddin.cs: 313 - Saving assembly
2021-08-04 09:44:59,126 INFO  SwAddin.cs: 316 - Opening property manager
2021-08-04 09:44:59,143 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assemurdf
2021-08-04 09:44:59,148 INFO  ExportHelperExtension.cs: 1136 - Found 81 in Assemurdf
2021-08-04 09:44:59,148 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [CoordSys] in Assemurdf
2021-08-04 09:44:59,148 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-08-04 09:44:59,149 INFO  ExportHelperExtension.cs: 1160 - 15 components to check
2021-08-04 09:44:59,150 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from rplidar_main-1
2021-08-04 09:44:59,150 INFO  ExportHelperExtension.cs: 1136 - Found 49 in rplidar_main-1
